,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Nemanja Bjelica,Dec 9 2019,SAC,@,HOU,-2,3-pt FG,C. Joseph,32,,29:39,17,6,14,.429,3,7,.429,2,2,1.000,5,4,3,0,13.7
Malik Monk,Nov 15 2019,CHO,,DET,tied,3-pt FG,C. Martin,26,,21:57,19,8,12,.667,2,4,.500,1,2,.500,4,1,0,0,12.5
Bojan Bogdanović  (1),Nov 8 2019,UTA,,MIL,tied,3-pt FG,J. Ingles,23,,37:33,33,9,19,.474,5,10,.500,10,10,1.000,5,0,0,0,21.4
Jae Crowder,Oct 27 2019,MEM,,BRK,-2,3-pt FG,J. Morant,27,,37:43,6,2,6,.333,2,5,.400,0,0,,7,5,1,2,8.8
Kawhi Leonard,May 12 2019 p,TOR,,PHI,tied,2-pt FG,unassisted,15,,43:17,41,16,39,.410,2,9,.222,7,8,.875,8,3,3,0,24.4
Damian Lillard  (2),Apr 23 2019 p,POR,,OKC,tied,3-pt FG,unassisted,36,,45:16,50,17,33,.515,10,18,.556,6,8,.750,7,6,3,1,36.9
Maurice Harkless,Apr 9 2019,POR,@,LAL,tied,3-pt FG,C. McCollum,24,,33:59,26,9,14,.643,1,4,.250,7,8,.875,8,0,0,4,25.0
Trae Young,Mar 31 2019,ATL,,MIL,-1,2-pt FG,unassisted,11,,35:27,12,5,19,.263,2,9,.222,0,0,,5,16,2,0,14.0
Jeremy Lamb,Mar 24 2019,CHO,@,TOR,-2,3-pt FG,unassisted,48,,25:01,13,5,11,.455,3,4,.750,0,0,,0,0,1,2,9.3
Lou Williams,Mar 17 2019,LAC,,BRK,tied,3-pt FG,D. Gallinari,28,,26:32,25,8,16,.500,2,6,.333,7,7,1.000,6,2,0,0,19.0
Nikola Jokić,Mar 14 2019,DEN,,DAL,-1,2-pt FG,unassisted,12,,29:58,11,4,9,.444,0,2,.000,3,4,.750,14,8,0,1,14.8
Dwyane Wade  (5),Feb 27 2019,MIA,,GSW,-2,3-pt FG,unassisted,25,,25:45,25,10,17,.588,5,8,.625,0,0,,7,3,1,2,20.1
Rajon Rondo,Feb 7 2019,LAL,@,BOS,-1,2-pt FG,unassisted,19,,35:01,17,7,11,.636,3,4,.750,0,0,,7,10,0,0,18.6
Karl-Anthony Towns,Jan 30 2019,MIN,,MEM,tied,2-pt FG,unassisted,14,,26:27,16,7,17,.412,0,6,.000,2,2,1.000,10,2,0,0,8.1
Rudy Gay  (4),Jan 29 2019,SAS,,PHO,tied,2-pt FG,unassisted,21,,31:42,16,7,17,.412,0,0,,2,2,1.000,5,5,1,1,12.6
Buddy Hield  (1),Jan 19 2019,SAC,@,DET,-1,3-pt FG,unassisted,27,,37:33,35,13,22,.591,7,9,.778,2,2,1.000,9,3,0,1,29.3
Pascal Siakam,Jan 17 2019,TOR,,PHO,tied,2-pt FG,unassisted,2,,33:00,10,4,8,.500,0,3,.000,2,2,1.000,12,5,1,2,14.9
Evan Fournier  (2),Dec 30 2018,ORL,,DET,tied,2-pt FG,A. Gordon,12,,29:36,13,6,10,.600,1,2,.500,0,0,,5,3,1,0,8.8
Bogdan Bogdanović,Dec 27 2018,SAC,,LAL,-2,3-pt FG,N. Bjelica,26,,30:16,23,9,16,.563,3,7,.429,2,3,.667,1,1,1,1,13.3
Larry Nance Jr.,Dec 18 2018,CLE,@,IND,-1,2-pt FG,unassisted,At Rim,,33:26,15,7,14,.500,1,3,.333,0,0,,16,6,3,1,19.5
Reggie Bullock,Nov 14 2018,DET,@,TOR,tied,2-pt FG,J. Calderón,5,,28:56,5,2,9,.222,1,7,.143,0,0,,1,2,2,0,1.0
Evan Fournier  (1),Nov 5 2018,ORL,,CLE,tied,2-pt FG,A. Gordon,24,,31:58,15,5,15,.333,2,9,.222,3,4,.750,1,5,3,1,10.0
LeBron James  (7),May 5 2018 p,CLE,,TOR,tied,2-pt FG,unassisted,9,,41:16,38,14,26,.538,1,4,.250,9,11,.818,6,7,3,1,31.0
LeBron James  (6),Apr 25 2018 p,CLE,,IND,tied,3-pt FG,J. Green,24,,41:49,44,14,24,.583,1,4,.250,15,15,1.000,10,8,1,1,38.1
