playerName	date	winningTeam	opposingTeam	assistedPlayerName	distance																		
Darrell Armstrong	Mar 15 1999	ORL	PHI	unassisted	At Rim																		
Sean Elliott	Mar 12 1999	SAS	PHO	unassisted	21																		
Keith Van Horn	Mar 1 1999	NJN	BOS	unassisted	8																		
Randy Brown	Feb 28 1999	CHI	TOR	B. Barry	19																		
Tom Hammonds	Apr 18 1998	MIN	MIL	unassisted	18																		
Antoine Walker	Apr 3 1998	BOS	DET	unassisted	19																		
Voshon Lenard	Mar 15 1998	MIA	ORL	B. Barry	26																		
David Robinson	Mar 10 1998	SAS	NJN	C. Person	At Rim																		
Michael Finley	Feb 13 1998	DAL	IND	D. Scott	27																		
Michael Jordan	Feb 13 1998	CHI	ATL	unassisted	15																		
Antoine Walker	Jan 28 1998	BOS	WAS	C. Billups	17																		
Kenny Anderson	Jan 20 1998	POR	CLE	unassisted	20																		
Glen Rice	Dec 22 1997	CHH	TOR	unassisted	At Rim																		
Chris Webber	Dec 20 1997	WAS	TOR	unassisted	At Rim																		
Reggie Miller	Dec 7 1997	IND	PHO	unassisted	13																		
Rasheed Wallace	Nov 24 1997	POR	TOR	unassisted	At Rim																		
David Robinson	Nov 11 1997	SAS	MIN	unassisted	At Rim																		
Tim Hardaway	Nov 1 1997	MIA	WAS	unassisted	12																		
Michael Jordan	Jun 1 1997 p	CHI	UTA	unassisted	19																		
John Stockton	May 29 1997 p	UTA	HOU	B. Russell	25																		
Eddie Johnson	May 25 1997 p	HOU	UTA	M. Maloney	27																		
Shaquille O'Neal	Apr 13 1997	LAL	UTA	unassisted	10																		
Matt Geiger	Apr 5 1997	CHH	PHI	unassisted	At Rim																		
Wayman Tisdale	Mar 2 1997	PHO	DAL	J. Kidd	At Rim																		
John Starks	Feb 18 1997	NYK	PHO	unassisted	23																		
Michael Jordan	Feb 11 1997	CHI	CHH	S. Pippen	24																		
Jerry Stackhouse	Jan 29 1997	PHI	TOR	A. Iverson	16																		
Elliot Perry	Jan 25 1997	MIL	IND	unassisted	11																		
Reggie Miller	Dec 13 1996	IND	BOS	V. Askew	24																		
Rick Fox	Dec 11 1996	BOS	TOR	D. Radja	23																		
Voshon Lenard	Dec 10 1996	MIA	CLE	unassisted	16																		
Kenny Anderson	Nov 7 1996	POR	MIN	unassisted	15																		
Hakeem Olajuwon	Apr 13 1996	HOU	DAL	R. Horry	5																		
Vernon Maxwell	Apr 6 1996	PHI	ATL	unassisted	19																		
Mookie Blaylock	Mar 31 1996	ATL	BOS	C. Ehlo	24																		
Greg Minor	Mar 22 1996	BOS	DEN	unassisted	8																		
Dennis Scott	Feb 21 1996	ORL	IND	unassisted	18																		
John Stockton	Jan 8 1996	UTA	MIA	A. Keefe	22																		
Blue Edwards	Jan 5 1996	VAN	PHI	B. Reeves	19																		
Sam Cassell	Dec 30 1995	HOU	DAL	unassisted	26																		
Tony Dumas	Dec 28 1995	DAL	VAN	J. Kidd	12																		
Terrell Brandon	Dec 23 1995	CLE	IND	unassisted	5																		
John Stockton	Dec 21 1995	UTA	CLE	unassisted	24																		
Arvydas Sabonis	Dec 10 1995	POR	HOU	unassisted	7																		
Michael Finley	Nov 25 1995	PHO	LAL	unassisted	14																		
Anfernee Hardaway	Nov 22 1995	ORL	VAN	unassisted	6																		
James Robinson	Nov 21 1995	POR	LAL	A. McKie	23																		
Robert Horry	Nov 15 1995	HOU	TOR	C. Drexler	26																		
Chris King	Nov 5 1995	VAN	MIN	unassisted	At Rim																		
