gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
280,Robert Horry,Mar 5 2003,LAL,IND,unassisted,23
281,Andrei Kirilenko,Mar 2 2003,UTA,BRK,unassisted,0
282,Wally Szczerbiak,Feb 11 2003,LAL,DAL,A. Peeler,17
283,Tim Duncan,Jan 24 2003,SAS,UTA,unassisted,16
284,Jermaine O'Neal,Jan 18 2003,IND,DET,E. Strickland,19
285,Jason Terry,Dec 27 2002,ATL,SAS,unassisted,15
286,Robert Traylor,Dec 20 2002,NOP,OKC,unassisted,0
287,Rasheed Wallace,Dec 20 2002,POR,GSW,S. Pippen,16
288,Ryan Bowen,Nov 23 2002,DEN,PHO,D. Harvey,0
289,James Posey,Nov 22 2002,DEN,LAC,D. Harvey,17
290,David Wesley,Nov 19 2002,NOP,GSW,unassisted,8
291,Jerry Stackhouse,Nov 8 2002,WAS,LAL,B. Russell,2
292,Tim Duncan,Nov 4 2002,SAS,MEM,S. Kerr,13
293,Robert Horry,May 26 2002 p,LAL,SAC,unassisted,25
294,Jeff McInnis,Mar 29 2002,LAC,PHO,unassisted,20
295,Lamond Murray,Mar 19 2002,CLE,BRK,A. Miller,24
296,Jalen Rose,Mar 16 2002,WAS,HOU,unassisted,15
297,Jon Barry,Mar 7 2002,DET,WAS,D. Jones,24
298,Eddie Jones,Mar 5 2002,MIA,DET,unassisted,15
299,Kobe Bryant,Feb 22 2002,LAL,CHA,unassisted,18
300,Lee Nailon,Feb 1 2002,CHA,HOU,E. Campbell,20
301,Michael Jordan,Jan 31 2002,WAS,CLE,P. Jones,15
302,Moochie Norris,Jan 8 2002,HOU,NYK,S. Francis,23
303,Anfernee Hardaway,Dec 9 2001,PHO,TOR,R. Rogers,0
304,Paul Pierce,Nov 27 2001,BOS,MIA,unassisted,0
305,Moochie Norris,Nov 4 2001,HOU,PHO,S. Francis,25
306,Shammond Williams,Mar 1 2001,OKC,CLE,D. Mason,20
307,Antonio McDyess,Jan 27 2001,DEN,DAL,unassisted,0
308,Howard Eisley,Jan 17 2001,DAL,CHA,D. Nowitzki,24
309,Elton Brand,Jan 4 2001,WAS,WAS,B. Drew,19
310,Vin Baker,Dec 30 2000,OKC,CHA,B. Barry,19
311,Milt Palacio,Dec 28 2000,BOS,BRK,unassisted,30
312,Ray Allen,Dec 21 2000,ATL,BRK,unassisted,15
313,Moochie Norris,Dec 14 2000,HOU,GSW,C. Mobley,35
314,Paul Pierce,Dec 10 2000,BOS,DEN,M. Palacio,18
315,Sam Cassell,Nov 28 2000,ATL,MIA,G. Robinson,26
316,Michael Finley,Nov 10 2000,DAL,SAS,unassisted,22
317,Elden Campbell,Apr 10 2000,CHA,WAS,A. Mason,19
318,Kevin Garnett,Apr 10 2000,LAL,DET,S. Mitchell,12
319,Tim Hardaway,Apr 9 2000,MIA,NYK,unassisted,25
320,Mike Bibby,Apr 4 2000,MEM,HOU,unassisted,0
321,Charles Oakley,Mar 28 2000,TOR,CLE,V. Carter,24
322,Erick Strickland,Mar 21 2000,DAL,SAS,unassisted,0
323,Vince Carter,Mar 8 2000,TOR,LAC,T. McGrady,31
324,Pat Garrity,Mar 6 2000,ORL,WAS,unassisted,19
325,Keith Van Horn,Mar 2 2000,BRK,DAL,unassisted,16
326,Vince Carter,Mar 1 2000,TOR,BOS,unassisted,23
327,Larry Hughes,Feb 9 2000,GSW,BRK,unassisted,0
328,Glenn Robinson,Feb 3 2000,ATL,UTA,V. Del Negro,26
329,Tim Thomas,Jan 29 2000,ATL,OKC,V. Del Negro,15
330,Michael Dickerson,Jan 27 2000,MEM,BRK,D. Scott,16
331,Chuck Person,Jan 26 2000,OKC,BRK,E. Davis,29
332,Malik Sealy,Jan 17 2000,LAL,IND,S. Mitchell,25
333,Terry Mills,Dec 30 1999,DET,ATL,G. Hill,23
334,Malik Sealy,Dec 27 1999,LAL,ORL,unassisted,0
335,Eric Snow,Dec 20 1999,GSW,DET,A. McKie,16
336,Aaron McKie,Dec 3 1999,GSW,CLE,unassisted,12
337,Hersey Hawkins,Apr 15 1999,OKC,SAC,G. Payton,24
338,Lindsey Hunter,Apr 9 1999,DET,IND,G. Hill,27
339,Jerry Stackhouse,Mar 21 1999,DET,UTA,G. Hill,27
340,Darrell Armstrong,Mar 15 1999,ORL,GSW,unassisted,0
341,Sean Elliott,Mar 12 1999,SAS,PHO,unassisted,21
342,Keith Van Horn,Mar 1 1999,BRK,BOS,unassisted,8
343,Randy Brown,Feb 28 1999,WAS,TOR,B. Barry,19
